critic_loss,generator_loss,wasserstein,real_score,fake_score,gp
0.60259545,0.0236088,0.04713798,0.034711782,-0.0124261975,0.06497334
0.33003232,0.04564956,0.15002343,0.11058937,-0.039434053,0.048005573
0.19009212,0.06143316,0.18838143,0.13690579,-0.051475644,0.037847355
0.13987741,0.088159636,0.31455103,0.23522171,-0.07932932,0.045442842
-0.030165493,0.08538072,0.35939455,0.2716948,-0.08769974,0.032922905
-0.2025083,0.10533035,0.5204882,0.4051466,-0.11534159,0.03179799
-0.33185092,0.12033042,0.60248506,0.47089443,-0.1315906,0.027063414
-0.41640422,0.1373087,0.6703659,0.5189898,-0.15137613,0.02539617
-0.5644813,0.1630827,0.8448178,0.67612207,-0.16869575,0.028033651
-0.49525845,0.16848198,0.7995784,0.64196867,-0.15760976,0.030431997
-0.5860047,0.21469645,0.8135785,0.6426768,-0.17090175,0.02275738
-0.7464935,0.21238372,0.90632397,0.69984686,-0.20647709,0.015983045
-0.8075755,0.20544645,1.0151584,0.8070972,-0.20806125,0.02075829
-0.9890967,0.22831634,1.213456,0.9859009,-0.22755516,0.022435935
-0.96906745,0.23771633,1.2226319,0.97698545,-0.24564645,0.02535645
-1.122122,0.2703631,1.3577697,1.0911545,-0.2666153,0.023564775
-1.0815204,0.26987755,1.3775915,1.1424516,-0.23513989,0.029607102
-1.1716886,0.2533452,1.4170723,1.1756065,-0.24146575,0.024538377
-1.1090596,0.25798032,1.4381527,1.2041255,-0.23402712,0.03290931
-1.1621484,0.2693019,1.5593715,1.2879295,-0.27144194,0.039722312
-1.4361799,0.23800556,1.7674762,1.494838,-0.27263817,0.03312964
-1.544839,0.2482751,1.8657825,1.5821741,-0.2836085,0.032094344
-1.2768819,0.22870332,1.6281928,1.3609354,-0.26725733,0.035131086
-1.4269199,0.24569444,1.7692802,1.5172726,-0.25200754,0.03423602
-1.6871594,0.25465402,1.9207098,1.6974845,-0.22322541,0.023355044
-1.5343878,0.2698638,1.947584,1.6909447,-0.25663936,0.041319624
-1.5212387,0.2199207,1.8940425,1.6869622,-0.20708025,0.03728038
-1.718337,0.2298345,2.182527,1.9637716,-0.21875548,0.046419002
-1.7095785,0.1998567,2.06174,1.8449705,-0.21676937,0.03521614
-1.6140302,0.2094728,2.0896895,1.8972199,-0.19246957,0.047565926
-1.9521198,0.1916118,2.360506,2.151414,-0.20909211,0.04083863
-1.9650999,0.17605993,2.3958201,2.2304473,-0.16537273,0.04307202
-2.1213493,0.1597935,2.4347632,2.2369895,-0.19777364,0.031341374
-1.9989094,0.15695603,2.445965,2.2295744,-0.21639055,0.04470557
-2.028154,0.16259873,2.404048,2.2415924,-0.16245553,0.0375894
-1.938384,0.10557954,2.352113,2.2210724,-0.13104068,0.041372903
-1.896039,0.11847948,2.2742007,2.1638865,-0.11031414,0.037816174
-2.3403037,0.07947793,2.7095602,2.5891738,-0.12038632,0.03692565
-2.1822696,0.10904486,2.5465393,2.4558787,-0.09066049,0.03642698
-2.373487,0.021854315,2.791441,2.6964545,-0.09498653,0.041795388
-2.2709315,0.05315349,2.678376,2.634397,-0.043978833,0.040744454
-2.1819491,0.009771005,2.6598015,2.6418333,-0.017968293,0.04778523
-2.395296,0.048170913,2.8367329,2.7885034,-0.04822947,0.044143666
-2.7514117,0.061834443,3.1483479,3.1157146,-0.03263338,0.039693624
-2.212651,-0.051548723,2.681665,2.7248163,0.043151442,0.046901386
-2.2313514,-0.029619936,2.6960688,2.7526646,0.056595765,0.04647175
-2.2167573,-0.080413684,2.6511354,2.7329583,0.0818228,0.043437816
-2.5120838,-0.08115657,2.935812,3.0229628,0.0871507,0.042372823
-2.548424,-0.12512806,2.9785187,3.0693421,0.09082342,0.043009467
-1.9437011,-0.12916422,2.471243,2.6333473,0.16210434,0.05275418
-2.2722673,-0.16719072,2.6292021,2.7317173,0.10251525,0.03569349
-2.4492123,-0.14920786,2.8711655,3.0289564,0.15779087,0.042195313
-2.590033,-0.26878065,2.9994524,3.1928902,0.19343789,0.040941935
-2.3635402,-0.29405326,2.780265,3.042408,0.262143,0.041672498
-2.4756024,-0.26754203,2.8905947,3.1834133,0.29281852,0.041499227
-2.2392716,-0.3368826,2.6116536,2.9571304,0.34547687,0.0372382
-2.45998,-0.37665063,2.8155763,3.2061467,0.39057034,0.035559632
-2.288882,-0.40427434,2.6431117,3.0929186,0.4498068,0.035422973
-2.4699526,-0.52360296,2.8489077,3.3097043,0.4607965,0.037895508
-2.297105,-0.4583416,2.593261,3.0610805,0.46781945,0.029615596
-2.4827833,-0.51498836,2.8339696,3.3769069,0.5429372,0.035118632
-2.0227487,-0.53545165,2.3073242,2.9197655,0.6124413,0.028457556
-2.071745,-0.6155056,2.3733115,3.0004632,0.62715185,0.03015666
-2.075563,-0.7189294,2.4597151,3.1410718,0.6813567,0.03841521
-2.1642249,-0.75210667,2.5425487,3.2566903,0.7141417,0.037832376
-1.7386878,-0.799898,2.004715,2.85176,0.8470449,0.026602719
-2.0459952,-0.78712004,2.2962313,3.0554276,0.7591963,0.025023617
-1.9698397,-0.8360909,2.2976198,3.1601238,0.8625039,0.03277801
-2.1352258,-0.91089284,2.2983675,3.2919142,0.99354684,0.016314173
-1.8584603,-1.0943489,2.057892,3.0874631,1.029571,0.019943178
-2.0237343,-1.1001133,2.256071,3.3716323,1.1155611,0.023233684
-1.4958558,-1.0867529,1.7087841,2.8622787,1.1534946,0.021292824
-1.6762832,-1.2091744,1.9038895,2.986727,1.0828375,0.022760633
-1.5098795,-1.2513788,1.6667452,2.8912578,1.2245126,0.015686572
-1.9359052,-1.3639109,2.129525,3.23568,1.1061552,0.019361977
-1.617624,-1.2834466,1.7973852,3.158821,1.3614359,0.017976115
